Job ID,JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings,data_source,notes,_temp
5481,nÃ¢â¬â¢an,Medium,E-commerce,UK,Onsite,Entry,999,PhD,0,1,na,Not Available,1,115036,13,2022,Not Available,4,manual_entry,,0.300062
unknown,Data Engneer,M.N.C.,Finance,na,Hybird,Entry,0,master,1,na,0,1,No,NULL,7,2024,low priority,2,duplicate?,,0.568197
6251,DATA ANALYST,MNC,Technology,IN,Onsite,Senior Level,-2,B.S.,1,0,No,0,0,116040,6,2023,low,1,web_scrape,,0.423458
2827,business_analyst,Enteprise,Technology,Australi,Hybrid.,Senior,1,MASTER,0,1,0,0,1,109141,1,2026,High,nan,manual_entry,DUPLICATE,0.083972
5700,Data Scientist.,Multinational,Technology,AÃÂ©ustralia,None,Mid,13,Bachelor,-1,1,1,1,0,123754,1,2024,High,3,manual_entry,#REF!,0.028693
2284,AI Engineer,Medium,E-commerce,Deutschland,Onsite,Senior,10.0 years,BACHELOR,0,0,0,1,0,159436,Oct,2026,URGENT,9,,,0.604594
7669,Data Engineer,startup,Retial,India,onsite,Senior Level,999,Master,0,1,0,0,No,NULL,11,2022,Medium,5,,#REF!,0.546331
6059,Data Analyst,Enterprise,Retail,Canada,Onsite,snr,14.6,Maters,1,1,1,1,-1,"$144,990",0,2026,High,1,duplicate?,???,0.931491
7946,Data Scientist,med,Education,null,Hybrid,Senior,6,Bachelor,0,0,0,0,1,106500,6,2020,Low,5,duplicate?,TODO,0.810104
4917,Data Analyst,Enterprize,retail,Germany,Hybrid,Senior,2,PhD,1,0,1,0,1,124847,,2024,Low,2,UNKNOWN,DUPLICATE,0.23926
7078,Data Scientist,Enterprise,Edu,Singapore,office,sr,3.8,#N/A,FALSE,0,0,1,1,126375,7,2021,High,9,UNKNOWN,#REF!,0.175166
2613,Data Engineer,Enterprise,IT,UK,Onsite,junior,5,Master,1,1,1,1,1,93679,12,2024,High,-7,UNKNOWN,,0.114625
3203,Data Engineer,Med,IT,Germany,Work From Home,Senior,7,MS,0,0,0,1,1,128648,1,2022,High,8,,,0.892755
9876,Data Engineer,Medium,Fin,Deutschland,Hybird,Mid,14,master's,1,0,1,1,1,NA,10,2024,High,9,manual_entry,TODO,0.445374
9782,Data Analyst,MNC,Retl,usa,Hybrid,Mid,null,Master,0,0,0,0,unknown,0,NONE,2022,High,,UNKNOWN,,0.587048
65,data scientist,Startup,E-commerce,Australia,wfh,mid level,6,Masterss,1,1,None,2,1,104352,7,2022,URGENT,8,web_scrape,,0.289489
--,Data Analst,M.N.C.,Retail,India,Onsite,mid,2,Master,No,1,1,1,1,"$130,874",11,2026,High,1,api_pull,TODO,0.041871
ID_2536,Data Engineer,MNC,Healthcare,Germny,On Site,Entry,12,Phd.,1,0,0,1,1,95432,11,2026,High,7,api_pull,,0.103691
JOB-2899,Business Analyst,med,Fnance,singapore,nan,Entry,8,master,No,na,0,1,0,66241,10,2020,Medium,4,UNKNOWN,DUPLICATE,0.852096
4117,Data Scientist,M.N.C.,,u.k,Onsite,SENIOR,12,Batchelor,?,0,1,1,Yes,163092,2,2021,URGENT,5,manual_entry,needs review,0.532956
575,UNâKNOWN,Startup,RetaÃ¢â¬â¢il,INDIA,Remote,Senior,7,Master,0,1,1,0,0,157961,3,None,Urgent,8,UNKNOWN,,0.380025
2483,Business Analyst,Enterprize,Ecommerce,Germany,Onsite,Senior,,Bachelor,0,1,1,0,2,129372,3,2024,Low,2,api_pull,#REF!,0.668791
5815,DATA ANALYST,MNC,Education,AUS,Hybrid,Mid Level,5,Ph.D,1,1,1,0,0,108403,6,2024,HIGH,7,,,0.058652
8339,ML engineer,Startup,Healthcare,uk,in-office,Entry,3,Bachelor,0,0,?,1,0,122732,6,2026,URGENT,2,duplicate?,TODO,0.068263
4664,Machine Learning Engineer,Medium,Technology,Germny,In-Office,mid-level,6,Bachelors,1,1,0,0,1,124300,7,2024,low priority,1,web_scrape,???,0.901998
3799,AI Engineer,Enterprise,Technology,UK,Onsite,sr,11,PhD,1,1,1,1,2,171518,12,2021,HIGH,2,,,0.934596
4705,M.L. Engineer,Startup,Healthcare,,Hybrid,Senior,8,PHD,0,1,--,not available,1,162147,4,2022,Medium,-1,,,0.188463
3988,not available,MNC,N/A,Bharat,Remote,fresher,14,Maters,1,1,1,1,0,100547,7,2024,High,5,duplicate?,needs review,0.09042
1895,Data Analyst,Medium,E-commerce,Germany,Remote.,Mid,6.5,B.S.,1,FALSE,1,1,1,118965000,8,2020,HIGH,9,,,0.379822
6837,Data Engneer,Medium Sized,Technology,india,hybrid,SENIOR,10,Bachelor,0,,0,0,1,112458,11,2025,Medium,4,,needs review,0.483527
8358,busiâness_analyst,Startup,FINANCE,--,Remote,Entry,--,doctorate,0,0,1,Not Available,0,76.6k,0,2026,urgent,3,UNKNOWN,TODO,0.722518
9359,AI Eng,MNC.,Technology,Germany,,MID,0,n/a,0,2,0,1,1,164036,12,2022,Low,3,duplicate?,needs review,0.36371
2108,Data  Scientist,MNC.,Technology,Singapore,Remote,junior,11,Master,1,1,?,0,0,72011,5,2026,High,9,api_pull,DUPLICATE,0.113961
4815,Data Engineer,Startup,EÃÂ©-commerce,USA,In-Office,Entry,not available,master's,0,1,Yes,,-1,75598,1,2024,Low,6,UNKNOWN,needs review,0.687088
5667,&#39;ML Engineer,Startup,Retail,Canada,Remote,Senior,--,PhD,0,1,FALSE,1,FALSE,159309,0,2020,High,9,UNKNOWN,needs review,0.280024
6507,Data Engineer,multinational,E-commerce,Australia,Hybird,Entry,6,Bachelor,1,1,1,0,1,92244,6,2026,low,1,api_pull,???,0.69557
1687,data_scientist,medium,retail,UK,Hybrid,Jr,1,Bachelor,1,Yes,1,1,0,76446000,10,2026,Urgent,7,duplicate?,DUPLICATE,0.501332
5985,A.I Engineer,MNC,financial,USA,Hybird,Senior,4,Bachelor,,1,1,0,1,181.5k,N/A,2021,low priority,3,api_pull,???,0.14463
3975,machine learning Engineer,Medium,Health Care,India,Hybrid,Mid Level,0,Bachelor,FALSE,1,0,UNKNOWN,0,132444,2,nan,Low,3,manual_entry,DUPLICATE,0.248841
1192,DATA SCIENTIST,MNC,Retail,Germany,Remote.,entry,1,bachelor's,No,0,No,0,Yes,80161,2,2026,high,9,api_pull,,0.457491
9784,Data Scientist,M.N.C.,Healthcare,Germany,Work From Home,Mid,None,Master,0,-1,unknown,0,NONE,124584,11,2022,Low,1,duplicate?,TODO,0.187437
4849,data engineer,Enterprise,E-commerce,Australia,Onsite,Entry,-9,PhD,0,-1,1,1,1,89456,na,2021,NA,6,UNKNOWN,TODO,0.557731
7125,Data Engineer,MNC,Ecommerce,India,Hybrid,mid-level,10,Bachelor,0,1,0,1,0,"$113,336",12,UNKNOWN,medium,2,UNKNOWN,TODO,0.582794
9020,Data  Scientist,Medium,n/a,USA,Onsite,snr,14.0 years,BS,TRUE,No,0,0,1,110975,10,2026,medium,3,duplicate?,needs review,0.958768
8902,DATA SCIENTIST,MNC,None,Singapore,Onsite,Entry Level,0,Master,1,0,0,1,0,87357,10,2021,URGENT,-7,,,0.394473
5494,Data Scientist,MNC,ecommerce,Singapore,On-site,Mid,5.0 years,Master,1,0,0,1,-1,119057,2,2024,High,7,duplicate?,needs review,0.712955
3005,Dat Scientist,Startup,Healthcare,Australia,WFH,Senior,12,PhD,TRUE,1,0,0,0,None,11,2025,Med,2,duplicate?,#REF!,0.256517
2855,Data SciÃ¢â¬â¢entist,Enterprise,Retail,UK,Hybrid.,Entry,-13,Master,NONE,0,1,TRUE,2,87294,6,2025,high,9,api_pull,TODO,0.593393
4123,Not Available,not available,Healthcare,singapore,Hybrid,mid,12,bachelor,2,1,1,0,NULL,139166,12,2021,Medium,2,manual_entry,TODO,0.876359
6261,data_scientist,startup,Technology,UK,On-site,ENTRY,2,PhD,0,1,None,0,1,70512,5,2024,Low,6,manual_entry,???,0.83505
842,Machine Learning Engineer,MNC,Technology,INDIA,Hybrid,Entry,9,NaN,0,1,0,0,1,118439,9,2023,Medium,5,api_pull,,0.372625
3254,Machine Learning Engineer,Enterprise,Healthcare,Aus,Hybird,snr,7,Master,NONE,nan,1,0,0,158079,10,2024,Low,2,api_pull,,0.787859
10005,data engineer,Startup,n/a,India,On Site,mid-level,999,Master,No,1,1,1,1,117539,?,2020,High,-3,duplicate?,TODO,0.420527
7192,business_analyst,MNC.,Technology,Inda,Onsite,Entry,14,Master,0,0,nan,1,TRUE,90935,5,2021,Medium,3,UNKNOWN,TODO,0.564802
unknown,Business Analyst,Startup,technology,India,Onsite,Jr,-6,PhD,0,0,0,0,0,49261,4,2021,LOW,1,,???,0.849267
ID_3153,Biz Analyst,startup,Technology,Can,hybrid,Mid,10,ph.d.,0,1,1,0,1,97987,0,2025,moderate,5,manual_entry,,0.116119
9949,Data  Analyst,multinational,Education,Great Britain,Remote,Entry,5,MS,1,0,0,0,1,"$84,465",1,-,NULL,4,web_scrape,???,0.408009
6680,n/a,MNC,HÂ ealth,Deutschland,REMOTE,#N/A,2.0 years,PhD,0,0,1,1,0,168361,7,2022,High,1,,#REF!,0.836915
7542,Data Scientist,Enterprise,Education,-,Onsite,Mid,10,Master,1,1,?,0,1,99220,11,2025,medium,3,web_scrape,needs review,0.454853
3136,ai engineer,enterprise,Technology,Germany,Onsite,Entry,2,Master,1,0,0,0,0,90659,5,2023,NA,NULL,duplicate?,#REF!,0.119187
83,data_scientist,MNC.,edu,Australia,Onsite,Entry Level,6,BACHELOR,0,1,No,NA,0,88058,8,2022,low,3,api_pull,,0.852085
2801,Data Analyst,ENTERPRISE,Retail,None,Hybrid,sr,-5,Bachelor,0,0,0,1,0,114695,8,2022,High,8,api_pull,#REF!,0.896944
7647,None,multinational,healthcare,Singpore,Hybrid,Junior,2,ph.d.,0,1,1,0,1,98297,4,2024,Low,1,api_pull,needs review,0.048283
2378,data engineer,Start Up,Finance,SG,Hybrid,Mid,-14,Bachelor,NaN,NA,0,1,1,97024,8,2022,High,9,duplicate?,,0.986071
7603,Data Analyst,Medium,Finance,Germny,Remote,Not Available,9,PhD,1,1,1,NULL,1,97028,Jan,2020,Medium,6,UNKNOWN,,0.748213
9168,Data Scientist,,Retail,Australi,Hybrd,entry level,14,bachelor's,0,1,1,1,1,91837,3,2025,High,3,UNKNOWN,needs review,0.568418
2111,Data Analyst,ENTERPRISE,Health Care,india,hybrid,sr,6,PhD,2,1,0,0,0,100290,6,NA,LOW,3,UNKNOWN,,0.515743
,Data Engineer,start-up,E-commerce,India,In-Office,Mid,7,Bachelor,1,1,1,0,None,104916,1,2020,High,8,web_scrape,DUPLICATE,0.436191
74,Business Analyst,Startup,Technology,australia,Onsite,Senior,999,Bachelor,0,0,0,0,not available,97336,None,2025,High,#N/A,duplicate?,,0.571233
4368,Dat Scientist,Medium Sized,Technology,australia,Remote,Senior,7,Doctor,0,0,1,1,FALSE,134891,7,2026,High,2,,#REF!,0.733478
9762,Data Engineer,NA,Health Care,India,Remote,Entry,10,Master,0,1,0,1,1,78475,9,2022,Medium,6,manual_entry,needs review,0.951103
1091,Bizz Analyst,M.N.C.,Fin,USA,Remote,Senior,5,BS,0,1,1,1,1,--,4,2020,high,4,,#REF!,0.046384
4474,Machine Learning Engineer,Enterprise,Finance,Aus,In-Office,Sr,2.9,NONE,1,1,1,1,Yes,177554,4,#N/A,Urgent,1,manual_entry,needs review,0.772424
7566,Data Engineer,Med,Finance,Canada,Hybrid,Entry,3,PhD,0,0,1,0,Yes,74209,12,2025,High Priority,8,web_scrape,,0.749342
853,Data Analyst,mnc,Retail,Australia,hybrid work,Mid,12,ph.d.,0,1,0,2,FALSE,91949,5,2020,urgent,8,duplicate?,???,0.813357
7464,Data Analyst,MNC,Healthcare,India,onsite,Entry Level,7,Master,0,1,0,0,0,not available,6,2022,Low,2,,???,0.155054
9829,data_scientist,MNC,Retail,IN,Onsite,Entry,6.3,PhD,1,1,FALSE,0,FALSE,72485,9,2026,not urgent,5,,needs review,0.416411
1475,Business Analyst,Enterprise,Retail,UK,Remote,MID,12,Master,1,0,FALSE,2,1,103008,8,2020,HIGH,7,duplicate?,needs review,0.521714
3438,Data Analyst,mnc,Retail,UK,hybrid,Senior,0,Bachelor,1,0,0,NaN,1,9999999,2,NA,low priority,3,api_pull,needs review,0.58323
ID_6374,NULL,Enterprise,Fnance,Singapore,Hybrid,Senior,9,PHD,1,0,1,1,0,129552,11,2021,High,7,UNKNOWN,TODO,0.308541
10205,Business Analyst,Multinational,Healthcare,USA,Onsite,Entry,0.0 years,Master,1,0,1,0,NONE,-83418,10,n/a,urgent,9,api_pull,#REF!,0.68663
30,Data Analst,start-up,Retail,Germany,Hybrid,Senior,4,Maters,1,0,1,0,0,111931,--,NONE,Urgent,9,UNKNOWN,#REF!,0.822141
10320,Data Analyst,enterprise,Healthcare,GERMANY,remote,mid-level,0,Bachelors,Not Available,,1,0,1,98595,13,2021,Low,2,api_pull,TODO,0.556307
6102,Data Analyst,MNC.,E-commerce,germany,remote,Mid Level,9,Master,1,-1,na,0,1,101846,9,2020,urgent,9,UNKNOWN,TODO,0.945085
3961,data engineer,MNC,Ecommerce,Germany,hybrid work,Junior,10,PhD,0,1,0,1,1,"$90,421",8,2022,High,7,UNKNOWN,???,0.716069
2452,Data Analyst,Enterprize,Fin,U.K.,WFH,Entry,13,PhD,unknown,0,0,0,1,59747,11,2022,High,,manual_entry,needs review,0.063939
8714,Machine Learning Engineer,medium,e-commerce,Germany,Hybird,Entry,null,Doctor,0,0,0,1,0,0,6,2026,MEDIUM,NA,manual_entry,DUPLICATE,0.109024
2572,Business  Analyst,Start-up,tech,Australi,Onsite,Mid-Level,10,MS,1,1,0,#N/A,1,83659,8,2020,Moderate,3,manual_entry,,0.396024
6183,A.I Engineer,Medium Sized,Healthcare,Singapore,On Site,entry level,6,Master,?,NONE,0,0,0,86234,Oct,2022,Low,2,api_pull,,0.433294
3807,-,UNKNOWN,Retail,Bharat,office,Entry Level,2,Master,1,1,0,-1,0,-63838,6,2021,High,NaN,,,0.034183
2381,Machine Learning Engineer,Enterprise,E-commerce,UK,office,mid,9,Bachelor,0,0,1,0,0,133105,4,2022,Medium,2,UNKNOWN,TODO,0.259662
1613,Machine Lerning Engineer,MNC,education,UK,Fully Remote,Mid Level,6,PhD,1,1,0,NaN,1,0,2,2026,Low,6,duplicate?,,0.24508
,Data Scientist,MNC,retail,australia,Remote,fresher,-7,,1,1,1,0,1,91688,11,2022,HIGH,7,UNKNOWN,needs review,0.845791
2294,AI  Engineer,startup,Retail,GERMANY,wfh,Senior,0.3,Bachelor,1,1,No,0,0,139350,8,2026,Low,,api_pull,needs review,0.279474
5250,AI Engineer,start-up,E-commerce,UK,Onsite,Mid,10,PhD,null,0,0,0,1,128333,Sep,2026,N/A,5,manual_entry,TODO,0.398761
494,Data Analyst,Enteprise,Healthcare,Canda,n/a,Mid,13,Not Available,1,1,0,1,na,9999999,4,2020,Medium,5,manual_entry,DUPLICATE,0.909601
5049,data_scientist,Medium,Education,N/A,Remote,Mid,10,PhD,0,N/A,0,0,1,80865,8,2020,moderate,4,api_pull,,0.433534
1863,Dat Scientist,Startup,health care,Can,office,Junior,-14,Bachelor,0,0,1,n/a,0,64797,7,2020,URGENT,8,web_scrape,,0.459861
5631,Data Analyst,Medium Sized,E-commerce,IN,Work From Home,Mid,9,BS,0,1,0,0,0,77133,6,2022,medium,1,web_scrape,,0.165856
null,DATA SCIENTIST,Medium Sized,Finance,Singapore,WFH,Sr,11,Bachelor,0,0,1,1,0,131279,9,2023,high,-5,web_scrape,,0.729888
6656,Machine Learning Engineer,M.N.C.,RETAIL,Australi,Onsite,Junior,3,PhD,1,1,-1,2,0,141422,4,2023,High Priority,not available,,needs review,0.711258
2792,Machine Learning Engineer,Startup,HEALTHCARE,Germany,On Site,Sr,0,bachelor,0,1,0,1,1,166069,0,2021,low,2,UNKNOWN,???,0.13448
263,Dat Scientist,Multinational,Technology,India,Onsite,Mid,9,Batchelor,0,0,1,0,1,119063,5,2020,Moderate,5,duplicate?,needs review,0.192936
3139,AI Engineer,,Retail,Canada,Onsite,Entry,9,Masters,1,1,1,1,0,116841,3,2026,High,5,web_scrape,,0.071725
JOB-1283,Bizz Analyst,Medium,ecommerce,Singapore,In-Office,Entry,999,master,1,0,TRUE,0,1,79945,13,2020,unknown,7,manual_entry,???,0.603562
5576,Bizz Analyst,Startup,ReÂ tail,aussie,Remote,Senior,2.0 years,bachelor,0,#N/A,-1,1,0,128572,0,2022,High,2,,???,0.030576
6419,Machine Learning Engineer,Start Up,TECHNOLOGY,united states,Onsite,Mid,4,B.S.,1,1,1,2,0,129918,12,--,unknown,0,web_scrape,???,0.842464
1320,Data  Engineer,enterprise,Finance,UK,Hybrid,Entry,11,M.S.,1,n/a,1,1,1,94345,11,2020,High,9,manual_entry,#REF!,0.029291
2449,Data Scientist,NA,E-commerce,canada,Hybrid,Mid,4.4,MS,-1,0,1,1,1,118944,1,2026,High,3,UNKNOWN,TODO,0.97709
5939,Machine Learning Engineer,Medium,Healthcare,Canada,Hybrid,Senior,12,NONE,0,1,1,0,0,None,11,2020,Medium,6,api_pull,needs review,0.936919
6983,UNKNOWN,Medium,nan,USA,Onsite,entry,9,Bachelor,1,0,0,1,0,63709,na,2021,Medium,-5,manual_entry,TODO,0.898371
8965,data scientâist,Startup,Fnance,singapore,WFH,snr,8,phd,0,TRUE,0,TRUE,1,126446,9,2023,High,7,api_pull,DUPLICATE,0.581498
8421,A.I Engineer,Enterprise,education,UK,Onsite,entry level,12,Master,1,0,1,0,0,105828,7,2023,moderate,3,manual_entry,#REF!,0.106849
1397,Data Engineer,med,EDUCATION,United States,onsite,Senior,11,Master,1,1,1,0,NaN,120001,13,2026,Medium,2,api_pull,TODO,0.722221
2107,NULL,medium,retail,Germany,office,Senior,10,PhD,0,1,Yes,0,0,"$111,058",5,2021,Medium,3,web_scrape,TODO,0.507312
2929,Data  Scientist,med,Health,Singpore,Onsite,Entry,1.0 years,Master,No,1,1,0,2,"$61,653",1,2026,High Priority,8,duplicate?,needs review,0.092828
5991,Machine Learning Engineer,Enterprise,Finance,UK,On Site,Entry,4,Bachelor,0,1,0,1,1,118723,1,2026,urgent,7,api_pull,???,0.633035
5865,Data Analyst,MNC,Education,UK,ONSITE,entry level,-13,Master,1,1,0,1,1,99955,10,2020,urgent,8,UNKNOWN,,0.257346
582,AI Engineer,ENTERPRISE,ecommerce,Ã¢â¬â¢#N/A,Remote,Mid-Level,3,MS,1,0,0,1,0,134133,NONE,2026,HIGH,9,duplicate?,???,0.593118
2524,data engâineer,Multinational,Retail,Australia,hybrid,Entry,3.0 years,MS,1,0,1,0,1,95041,7,2025,low priority,3,UNKNOWN,needs review,0.452859
1788,data_engineer,NA,E-commerce,Singapore,Hybrid,Senior,8,Phd.,1,0,Yes,Yes,1,136554,4,2025,High,3,UNKNOWN,DUPLICATE,0.354531
3685,Data Analyst,Start-up,E-commerce,Inda,office,entry-level,9,ph.d.,0,1,1,Yes,0,?,7,2023,High,3,,,0.509311
2301,business_analyst,Enterprize,health care,SG,Remote,Mid,8,PhD,2,0,1,0,0,85515,12,2021,nan,1,UNKNOWN,DUPLICATE,0.136262
9805,Data Engineer,multinational,Education,DE,Remote,Senior,unknown,Bachelor,0,-1,-1,0,1,"$131,584",9,2024,Medium,3,manual_entry,???,0.328644
3051,-,MNC,N/A,Singapore,Hybrid.,Mid,-6,master,0,0,0,1,FALSE,109956,7,2020,NaN,8,duplicate?,TODO,0.177389
166,business analyst,Medium,Technology,United States,Onsite,entry-level,999,Bachelor,1,1,1,0,1,72719,11,2025,Med,6,duplicate?,DUPLICATE,0.387768
3918,Business Analyst,Startup,technology,Germany,Onsite,Senior,0,doctorate,0,FALSE,Yes,1,0,131.3k,1,2023,High,4,duplicate?,DUPLICATE,0.700022
ID_7495,Data Scientist.,Enterprise,Retail,Deutschland,Not Available,MID,7.7,Bachelor,0,UNKNOWN,1,not available,1,101320,6,2022,Low,5,UNKNOWN,needs review,0.432021
2263,Data Engineer,Medium,HEALTHCARE,canada,Hybrid.,Mid,12,BACHELOR,1,0,1,0,0,86447,4,Not Available,Medium,1,manual_entry,???,0.207552
Not Available,Data Scientist,MNC.,Education,Canada,Hybrid,Mid,10,PhD,0,0,0,2,1,105955,11,2020,High,8,UNKNOWN,,0.135192
4932,data engineer,MNC,Tech,Deutschland,Hybrid,senior,1,unknown,1,0,1,0,1,140671,3,2020,URGENT,8,,TODO,0.929398
4583,Data Engineer,Medium,Education,U.K.,Onsite,snr,1,ph.d.,0,0,NONE,1,0,119602,3,2025,Low,-5,UNKNOWN,#REF!,0.504829
6671,Business Analyst,Enterprise,Education,Australia,Fully Remote,Mid,11,unknown,0,1,2,0,0,72039,4,2025,Medium,3,,TODO,0.241303
1359,Machine Learning Engineer,MEDIUM,Not Available,Canda,ONSITE,Senior,10,Bachelor,-1,1,0,na,0,142861,Mar,N/A,Medium,1,UNKNOWN,DUPLICATE,0.887676
4902,UNKNOWN,Startup,Education,USA,Remote.,mid-level,0,Maters,1,0,0,0,not available,74567,na,2025,Low Priority,2,,???,0.735678
8722,Data Engineer,Med,IT,Can,null,entry-level,14,master,1,1,1,1,0,9999999,2,NULL,high,9,manual_entry,???,0.86674
9640,Machine Learning Engineer,MNC,retail,India,Remote,intermediate,12,PhD,1,1,1,0,1,157826,8,2021,High,9,web_scrape,#REF!,0.630801
,data scientist,Multinational,Healthcare,germany,Hybrd,ENTRY,-1,PhD,0,1,1,No,2,91577,13,2022,low priority,1,manual_entry,TODO,0.149581
,-,Start Up,ECOMMERCE,Germany,Remote,Mid,4,Bachelor,0,0,1,Yes,0,109455,Feb,2024,HIGH,2,manual_entry,,0.92416
Not Available,AI Engineer,Medium,tech,Ã¢â¬â¢Australia,Onsite,Entry Level,999,B.S.,0,0,0,1,0,107870000,3,2022,Medium,6,web_scrape,???,0.861011
515,DATA ENGINEER,Medium,Fnance,Germany,Remote,null,14,Master,1,0,--,nan,1,64408,3,2021,Moderate,na,manual_entry,#REF!,0.806176
458,data engineer,Medium,Healthcare,Singapore,Fully Remote,Mid,13.1,PhD,0,1,0,FALSE,0,70512,8,2023,Medium,0,web_scrape,,0.703841
