JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings,Total_Skills,advanced_skill_score,ai_specialist,data_professional,exp_per_skill,experience_intensity,high_salary_job,salary_per_skill,salary_growth_potential,skill_demand_score,industry_hiring_density,country_demand_score,is_remote,is_hybrid,hiring_quarter,remote_premium_salary,peak_hiring_season,ml_cloud_combination,python_sql_combination,salary_percentile,salary_zscore,industry_salary,country_salary,competition_ratio,experience_squared,industry_salary_rank,skill_intersection_power,hiring_momentum,market_expansion_score,job_title_popularity,industry_frequency,salary_gap,premium_candidate,ai_seniority_score,cloud_ai_engineer_score
AI Engineer,Unknown,Healthcare,Canada,Hybrid,Fresher,0.0,Ph.D,0,1,1,0,1,116440.0,4,2020,Low,1,3,7,0,0,0.0,0.0,False,38813.333333333336,0.0,4.439807383627608,6860,4.452471482889734,0,1,Q2,1.0000654234507607,0,1,0,0.5647880299251871,-0.00441034273152934,115724.92537072857,118149.7422053232,0.25,0.0,0.5731785944551901,1.0,4.353086419753087,6289,1679,1551,-22773.732430017873,0,0.0,2
Data Engineer,Unknown,Retail,Germany,Remote,Junior,10.0,Ph.D,0,0,1,0,0,88138.0,5,2020,Low,8,1,3,0,0,10.0,30.0,False,88138.0,30.0,4.301075268817204,6709,4.497611464968153,1,0,Q2,0.7596065383417497,0,0,0,0.22034912718204488,-0.8064702297471756,117037.78714859438,115893.9773089172,4.0,100.0,0.20950468540829986,1.0,4.478201634877384,6289,1623,1494,-16309.724276032037,0,0.0,1
Data Analyst,Large,Education,Canada,Onsite,Senior,3.0,Ph.D,0,1,1,1,0,111764.0,1,2023,Low,0,3,8,1,0,1.0,24.0,False,37254.666666666664,24.0,4.715404699738904,6840,4.452471482889734,0,0,Q1,0.9556707043071008,1,0,0,0.44039900249376557,-0.1369250777921315,116356.81743958197,118149.7422053232,0.0,9.0,0.42978445460483344,27.0,4.498521584861029,6137,1626,1531,7988.900984009844,0,3.0,2
AI Engineer,Large,Healthcare,Australia,Unknown,Senior,13.0,Bachelor's,0,0,0,0,1,148152.0,9,2026,Low,3,1,3,0,0,13.0,39.0,True,148152.0,39.0,4.300261096605744,6860,4.557251908396947,0,0,Q3,1.2523162841066684,1,0,0,0.830423940149626,0.8942866799891327,115724.92537072857,117294.55629770992,1.5,169.0,0.8330109606705351,1.0,4.564450474898236,6540,1679,1551,8938.267569982127,0,0.0,1
Data Scientist,Start-up,E-commerce,United State America,Remote,Senior,7.0,Ph.D,0,0,1,1,1,142844.0,10,2022,Low,8,3,10,1,0,2.3333333333333335,70.0,True,47614.666666666664,70.0,4.877611940298507,7032,4.539167254763585,1,0,Q4,1.2310834868375604,1,1,0,0.8016957605985038,0.7438614845867212,115678.97271857051,116964.06474947071,2.0,49.0,0.8040842373962986,2187.0,4.494055482166447,6596,1661,1567,37746.660596026486,0,7.0,3
AI Engineer,Start-up,Finance,Germany,Hybrid,Mid-level,4.0,Bachelor's,1,0,0,0,1,129245.0,8,2025,Low,3,2,5,0,0,2.0,20.0,False,64622.5,20.0,4.409836065573771,7170,4.497611464968153,0,1,Q3,1.1100434185322359,0,0,0,0.6954613466334164,0.3584748545419973,116283.64576802508,115893.9773089172,1.0,16.0,0.6959247648902821,16.0,4.438775510204081,6397,1679,1595,-9968.732430017873,0,0.0,1
Data Analyst,Large,E-commerce,India,Hybrid,Senior,6.0,Bachelor's,0,1,0,1,0,128754.0,3,2022,Low,8,2,5,0,0,3.0,30.0,False,64377.0,30.0,4.446215139442231,7032,4.45144157814871,0,1,Q1,1.1058263786583582,1,0,0,0.6899750623441396,0.3445602405739144,115678.97271857051,115117.87329286798,2.6666666666666665,36.0,0.7038927887683472,64.0,4.622950819672131,6596,1626,1567,24978.900984009844,0,0.0,1
Business Analyst,Start-up,Finance,India,Hybrid,Senior,11.0,Master's,0,0,0,1,1,124500.0,1,2024,Low,3,2,7,0,0,5.5,77.0,False,62250.0,77.0,4.664,7170,4.45144157814871,0,1,Q1,1.0692901513193034,1,0,0,0.6433915211970075,0.22400470529850774,116283.64576802508,115117.87329286798,1.0,121.0,0.6520376175548589,2048.0,4.498521584861029,6725,1714,1595,17770.40665110851,0,0.0,2
Business Analyst,Medium,E-commerce,Germany,Remote,Unknown,0.0,Master's,1,0,1,1,1,141647.0,5,2021,High,7,4,12,1,0,0.0,0.0,True,35411.75,0.0,4.692607003891051,7032,4.497611464968153,1,0,Q2,1.220767289211167,0,1,0,0.7930174563591023,0.7099392994140221,115678.97271857051,115893.9773089172,1.4,0.0,0.795788130185067,1.0,4.478201634877384,6535,1714,1567,34917.40665110851,0,0.0,3
Data Scientist,Medium,IT,United State America,Onsite,Mid-level,2.0,Bachelor's,0,1,1,0,1,97655.0,2,2025,High,4,3,7,0,0,0.6666666666666666,14.0,False,32551.666666666668,14.0,4.439807383627608,7466,4.539167254763585,0,0,Q1,0.8350275815925515,1,1,0,0.3058354114713217,-0.5367647691886319,117607.79422718807,116964.06474947071,1.0,4.0,0.2973308504034761,9.0,4.623015873015873,6397,1661,1611,-7442.339403973514,0,0.0,2
Machine Learning Engineer,Large,Education,India,Onsite,Senior,10.0,Master's,1,0,1,0,0,141282.0,8,2025,High,6,2,5,0,0,5.0,50.0,True,70641.0,50.0,3.948,6840,4.45144157814871,0,0,Q3,1.2080729791875362,0,0,0,0.789925187032419,0.6995954417799075,116356.81743958197,115117.87329286798,2.0,100.0,0.8001306335728282,1024.0,4.438775510204081,6397,1682,1531,1701.021551724145,0,0.0,1
Data Scientist,Start-up,Education,Germany,Remote,Junior,7.0,Ph.D,0,1,0,1,0,212076.75,2,2024,High,9,2,5,0,0,3.5,35.0,True,106038.375,35.0,4.446215139442231,6840,4.497611464968153,1,0,Q1,1.8277574477554366,1,0,0,0.9811970074812968,2.7058716479243823,116356.81743958197,115893.9773089172,3.0,49.0,0.9853037230568256,128.0,4.623015873015873,6725,1661,1531,106979.41059602649,1,0.0,1
AI Engineer,Large,Finance,Unknown,Remote,Senior,13.0,Master's,0,1,0,1,0,159460.0,4,2023,High,9,2,5,0,0,6.5,65.0,True,79730.0,65.0,4.446215139442231,7170,4.6797202797202795,1,0,Q2,1.3742864440306726,0,0,0,0.888279301745636,1.2147478912947975,116283.64576802508,116538.71678321678,3.0,169.0,0.8783699059561129,8192.0,4.353086419753087,6137,1679,1595,20246.267569982127,0,0.0,1
Business Analyst,Large,Unknown,Australia,Unknown,Junior,6.0,Master's,0,0,0,0,1,61004.0,3,2022,High,6,1,3,0,0,6.0,18.0,False,61004.0,18.0,4.300261096605744,3142,4.557251908396947,0,0,Q1,0.5156616353180733,1,0,0,0.023341645885286783,-1.5754297723336552,118605.81360946746,117294.55629770992,3.0,36.0,0.019970414201183433,1.0,4.622950819672131,6596,1714,676,-45725.59334889149,0,0.0,1
AI Engineer,Medium,Retail,Australia,Remote,Junior,12.0,Bachelor's,0,0,0,0,1,95822.0,3,2024,High,7,1,3,0,0,12.0,36.0,False,95822.0,36.0,4.300261096605744,6709,4.557251908396947,1,0,Q1,0.8258301495039954,1,0,0,0.28957605985037405,-0.5887107720470758,117037.78714859438,117294.55629770992,3.5,144.0,0.27710843373493976,1.0,4.622950819672131,6725,1679,1494,-43391.73243001787,0,0.0,1
AI Engineer,Medium,E-commerce,United State America,Remote,Senior,0.0,Ph.D,0,1,1,1,1,176770.0,11,2024,High,3,4,11,1,0,0.0,0.0,True,44192.5,0.0,4.6755555555555555,7032,4.539167254763585,1,0,Q4,1.5234705550689953,0,1,0,0.9412468827930175,1.7053017971756836,115678.97271857051,116964.06474947071,0.6,0.0,0.9438417358008935,1.0,4.502029769959405,6725,1679,1567,37556.26756998213,1,0.0,3
Business Analyst,Large,Education,United State America,Hybrid,Mid-level,4.0,Ph.D,0,1,1,0,1,118721.0,11,2024,High,5,3,7,0,0,1.3333333333333333,28.0,False,39573.666666666664,28.0,4.439807383627608,6840,4.539167254763585,0,1,Q4,1.0196561932110764,0,1,0,0.5893266832917706,0.060231682647690826,116356.81743958197,116964.06474947071,1.25,16.0,0.589157413455258,81.0,4.502029769959405,6725,1714,1531,11991.406651108511,0,0.0,2
Machine Learning Engineer,Medium,Education,India,Hybrid,Mid-level,1.0,Master's,0,1,0,1,1,138200.0,6,2024,High,1,3,8,0,0,0.3333333333333333,8.0,True,46066.666666666664,8.0,4.414492753623189,6840,4.45144157814871,0,1,Q2,1.186955011343998,0,0,0,0.7653366583541147,0.612253608277603,116356.81743958197,115117.87329286798,0.25,1.0,0.7677988242978445,3.0,4.5,6725,1682,1531,-1380.978448275855,0,0.0,2
Data Analyst,Medium,Unknown,Australia,Hybrid,Mid-level,1.0,Bachelor's,1,0,1,1,0,109404.0,9,2025,High,0,3,9,1,0,0.3333333333333333,9.0,False,36468.0,9.0,4.555,3142,4.557251908396947,0,1,Q3,0.93963549971837,1,0,0,0.4161596009975062,-0.20380591071407783,118605.81360946746,117294.55629770992,0.0,1.0,0.386094674556213,3.0,4.564450474898236,6397,1626,676,5628.900984009844,0,1.0,2
AI Engineer,Large,Education,Australia,Remote,Mid-level,2.0,Ph.D,0,0,1,0,0,138624.0,9,2025,High,4,1,3,0,0,2.0,6.0,True,138624.0,6.0,4.301075268817204,6840,4.557251908396947,1,0,Q3,1.1947139346375766,1,0,0,0.7678802992518703,0.6242694867347662,116356.81743958197,117294.55629770992,2.0,4.0,0.7713912475506205,1.0,4.564450474898236,6397,1679,1531,-589.7324300178734,0,0.0,1
Machine Learning Engineer,Large,Retail,Australia,Hybrid,Mid-level,7.0,Ph.D,0,0,1,1,1,154152.0,1,2026,High,8,3,10,1,0,2.3333333333333335,70.0,True,51384.0,70.0,4.877611940298507,6709,4.557251908396947,0,1,Q1,1.323961569527496,1,1,0,0.8614463840399003,1.0643226958923862,117037.78714859438,117294.55629770992,2.0,49.0,0.8554216867469879,2187.0,4.498521584861029,6540,1682,1494,14571.021551724145,0,7.0,3
Data Engineer,Large,Finance,Unknown,Hybrid,Junior,0.0,Master's,1,0,0,1,1,113873.0,7,2024,Low,2,3,9,0,0,0.0,0.0,False,37957.666666666664,0.0,4.608465608465608,7170,4.6797202797202795,0,1,Q3,0.9780182923789802,0,0,0,0.5000498753117207,-0.07715741820213792,116283.64576802508,116538.71678321678,0.5,0.0,0.515987460815047,1.0,4.3356258596973865,6725,1623,1595,9425.275723967963,0,0.0,2
Data Analyst,Large,IT,India,Onsite,Senior,2.0,Bachelor's,1,0,1,0,0,116040.0,6,2023,Low,1,2,5,0,0,1.0,10.0,False,58020.0,10.0,3.948,7466,4.45144157814871,0,0,Q2,0.9922338904101139,0,0,0,0.5589027431421446,-0.015746077125079565,117607.79422718807,115117.87329286798,0.3333333333333333,4.0,0.5561762880198634,4.0,4.5,6137,1626,1611,12264.900984009844,0,0.0,1
Business Analyst,Large,IT,Australia,Hybrid,Senior,1.0,Master's,0,1,0,0,1,109141.0,1,2026,Low,0,2,4,0,0,0.5,4.0,False,54570.5,4.0,4.510964912280702,7466,4.557251908396947,0,1,Q1,0.9373766779529324,1,0,0,0.4148628428927681,-0.2112591560778371,117607.79422718807,117294.55629770992,0.0,1.0,0.3923029174425822,2.0,4.498521584861029,6540,1714,1611,2411.406651108511,0,0.0,1
Data Scientist,Large,IT,Australia,Unknown,Mid-level,13.0,Bachelor's,1,1,1,1,0,123754.0,1,2024,Low,3,4,10,1,1,3.25,130.0,False,30938.5,130.0,4.7407407407407405,7466,4.557251908396947,0,0,Q1,1.04608206047395,1,0,1,0.6361596009975062,0.20286356065453656,117607.79422718807,117294.55629770992,0.6,169.0,0.6378026070763501,67108864.0,4.498521584861029,6725,1661,1611,18656.660596026486,0,13.0,2
AI Engineer,Medium,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,0,0,1,0,159436.0,10,2026,Low,9,1,4,0,0,7.0,28.0,True,159436.0,28.0,4.383084577114428,7032,4.497611464968153,0,0,Q4,1.363304055079515,1,0,0,0.8879800498753118,1.2140677472311845,115678.97271857051,115893.9773089172,4.5,49.0,0.8940650925335035,1.0,4.494055482166447,6540,1679,1567,20222.267569982127,0,0.0,1
Data Engineer,Start-up,Retail,India,Onsite,Senior,7.0,Master's,0,1,0,0,1,113873.0,11,2022,Low,5,2,4,0,0,3.5,28.0,False,56936.5,28.0,4.510964912280702,6709,4.45144157814871,0,0,Q4,0.9737043243939236,0,0,0,0.5000498753117207,-0.07715741820213792,117037.78714859438,115117.87329286798,1.6666666666666667,49.0,0.4842704149933066,128.0,4.502029769959405,6596,1623,1494,9425.275723967963,0,0.0,1
Data Analyst,Large,Retail,Canada,Onsite,Senior,14.6,Master's,1,1,1,1,1,144990.0,1,2026,Low,1,5,13,1,1,2.92,189.79999999999998,True,28998.0,189.79999999999998,4.527536231884058,6709,4.452471482889734,0,0,Q1,1.2397793154995038,1,1,1,0.8156109725685785,0.8046776996081181,117037.78714859438,118149.7422053232,0.16666666666666666,213.16,0.8132530120481928,16031053493.675327,4.498521584861029,6540,1626,1494,41214.900984009844,0,14.6,3
Data Scientist,Medium,Education,Unknown,Hybrid,Senior,6.0,Bachelor's,0,0,0,0,1,106500.0,6,2020,Low,5,1,3,0,0,6.0,18.0,False,106500.0,18.0,4.300261096605744,6840,4.6797202797202795,0,1,Q2,0.9146939848635005,0,0,0,0.3930673316708229,-0.28610334241125246,116356.81743958197,116538.71678321678,2.5,36.0,0.37949052906597,1.0,4.5,6289,1661,1531,1402.660596026486,0,0.0,1
Data Analyst,Large,Retail,Germany,Hybrid,Senior,2.0,Ph.D,1,0,1,0,1,124847.0,6,2024,Low,2,3,8,0,0,0.6666666666666666,16.0,False,41615.666666666664,16.0,4.464912280701754,6709,4.497611464968153,0,1,Q2,1.0722704218615347,0,1,0,0.646284289276808,0.23383845488491256,117037.78714859438,115893.9773089172,0.5,4.0,0.6318607764390897,9.0,4.5,6725,1626,1494,21071.900984009844,0,0.0,2
Data Scientist,Large,Education,Singapore,Onsite,Senior,3.8,Unknown,0,0,0,1,1,126375.0,7,2021,Low,9,2,7,0,0,1.9,26.599999999999998,False,63187.5,26.599999999999998,4.664,6840,4.4948224852071,0,0,Q3,1.0806063245482431,0,0,0,0.663640897755611,0.2771409602682744,116356.81743958197,116940.13387573964,3.0,14.44,0.6662312214239059,13.928809012737984,4.3356258596973865,6535,1661,1531,21277.660596026486,0,0.0,2
Data Engineer,Large,IT,United Kingdom,Onsite,Junior,5.0,Master's,1,1,1,1,1,93679.0,12,2024,Low,7,5,13,1,1,1.0,65.0,False,18735.8,65.0,4.527536231884058,7466,4.488077496274218,0,0,Q4,0.8010296330552314,0,1,1,0.2719201995012469,-0.6494419690605211,117607.79422718807,115792.73994038749,1.1666666666666667,25.0,0.25915580384854126,3125.0,4.735294117647059,6725,1623,1611,-10768.724276032037,0,5.0,3
Data Engineer,Medium,IT,Germany,Remote,Senior,7.0,Master's,0,0,0,1,1,128648.0,1,2022,Low,8,2,7,0,0,3.5,49.0,False,64324.0,49.0,4.664,7466,4.497611464968153,1,0,Q1,1.1087370027069983,1,0,0,0.6887780548628429,0.3415562709596236,117607.79422718807,115893.9773089172,2.6666666666666665,49.0,0.6828057107386716,128.0,4.498521584861029,6596,1623,1611,24200.275723967963,0,0.0,2
Data Engineer,Medium,Finance,Germany,Hybrid,Mid-level,14.0,Master's,1,0,1,1,1,113873.0,10,2024,Low,9,4,12,1,0,3.5,168.0,False,28468.25,168.0,4.692607003891051,7170,4.497611464968153,0,1,Q4,0.9780182923789802,1,1,0,0.5000498753117207,-0.07715741820213792,116283.64576802508,115893.9773089172,1.8,196.0,0.515987460815047,268435456.0,4.494055482166447,6725,1623,1595,9425.275723967963,0,14.0,3
Data Analyst,Large,Retail,United State America,Hybrid,Mid-level,7.0,Master's,0,0,0,0,1,61004.0,10,2022,Low,0,1,3,0,0,7.0,21.0,False,61004.0,21.0,4.300261096605744,6709,4.539167254763585,0,1,Q4,0.5239435854705444,1,0,0,0.023341645885286783,-1.5754297723336552,117037.78714859438,116964.06474947071,0.0,49.0,0.020749665327978582,1.0,4.494055482166447,6596,1626,1494,-42771.099015990156,0,0.0,1
Data Scientist,Start-up,E-commerce,Australia,Remote,Mid-level,6.0,Master's,1,1,1,0,1,104352.0,7,2022,Low,8,4,9,0,1,1.5,54.0,False,26088.0,54.0,4.685344827586207,7032,4.557251908396947,1,0,Q3,0.8993449078608349,0,1,1,0.37311720698254364,-0.3469762361046172,115678.97271857051,117294.55629770992,1.6,36.0,0.3844926611359285,4096.0,4.3356258596973865,6596,1661,1567,-745.339403973514,0,0.0,2
Data Analyst,Large,Retail,India,Onsite,Mid-level,2.0,Master's,0,1,1,1,1,130874.0,11,2026,Low,1,4,11,1,0,0.5,22.0,False,32718.5,22.0,4.6755555555555555,6709,4.45144157814871,0,0,Q4,1.119076337241755,0,1,0,0.7088279301745636,0.4046396328597306,117037.78714859438,115117.87329286798,0.2,4.0,0.7014725568942436,16.0,4.502029769959405,6540,1626,1494,27098.900984009844,0,2.0,3
Data Engineer,Large,Healthcare,Germany,Onsite,Junior,12.0,Ph.D,1,0,0,1,1,95432.0,11,2026,Low,7,3,9,0,0,4.0,108.0,False,31810.666666666668,108.0,4.608465608465608,6860,4.497611464968153,0,0,Q4,0.8160191712307652,0,0,0,0.2860847880299252,-0.5997631130807872,115724.92537072857,115893.9773089172,1.75,144.0,0.31012250161186333,531441.0,4.502029769959405,6540,1623,1551,-9015.724276032037,0,0.0,2
Business Analyst,Medium,Finance,Singapore,Unknown,Junior,8.0,Master's,0,0,0,1,0,66241.0,10,2020,Low,4,1,4,0,0,8.0,32.0,False,66241.0,32.0,4.383084577114428,7170,4.4948224852071,0,0,Q4,0.5599295519163414,1,0,0,0.07351620947630923,-1.4270166697860989,116283.64576802508,116940.13387573964,2.0,64.0,0.08213166144200627,1.0,4.494055482166447,6289,1714,1595,-40488.59334889149,0,0.0,1
Data Scientist,Large,Unknown,United Kingdom,Onsite,Senior,12.0,Bachelor's,0,0,1,1,1,163092.0,2,2021,Low,5,3,10,1,0,4.0,120.0,True,54364.0,120.0,4.877611940298507,3142,4.488077496274218,0,0,Q1,1.394565750213429,1,1,0,0.901645885286783,1.3176763595882337,118605.81360946746,115792.73994038749,1.25,144.0,0.8964497041420119,531441.0,4.623015873015873,6535,1661,676,57994.660596026486,1,12.0,3
Business Analyst,Large,E-commerce,Germany,Onsite,Senior,7.0,Bachelor's,0,1,1,0,0,129372.0,3,2024,Low,2,2,4,0,0,3.5,28.0,False,64686.0,28.0,4.695652173913044,7032,4.497611464968153,0,0,Q1,1.106233047829518,1,0,0,0.6968578553615961,0.3620739502119495,115678.97271857051,115893.9773089172,0.6666666666666666,49.0,0.7115507338864071,128.0,4.622950819672131,6725,1714,1567,22642.40665110851,0,0.0,1
Data Analyst,Large,Education,Australia,Hybrid,Mid-level,5.0,Ph.D,1,1,1,0,0,108403.0,6,2024,Low,7,3,6,0,1,1.6666666666666667,30.0,False,36134.333333333336,30.0,4.462962962962963,6840,4.557251908396947,0,1,Q2,0.9310382351282446,0,0,1,0.4079800498753117,-0.23217358603393728,116356.81743958197,117294.55629770992,1.75,25.0,0.3932070542129327,243.0,4.5,6725,1626,1531,4627.900984009844,0,0.0,1
Machine Learning Engineer,Start-up,Healthcare,United Kingdom,Onsite,Junior,3.0,Bachelor's,0,0,1,1,0,122732.0,6,2026,Low,2,2,7,1,0,1.5,21.0,False,61366.0,21.0,4.4863813229571985,6860,4.488077496274218,0,0,Q2,1.0494557897088426,0,0,0,0.6273815461346633,0.17390075927901572,115724.92537072857,115792.73994038749,0.6666666666666666,9.0,0.6295938104448743,8.0,4.5,6540,1682,1551,-16848.978448275855,0,3.0,2
Machine Learning Engineer,Medium,IT,Germany,Onsite,Mid-level,6.0,Bachelor's,1,1,0,0,1,124300.0,7,2024,Low,1,3,6,0,1,2.0,36.0,False,41433.333333333336,36.0,4.55786350148368,7466,4.497611464968153,0,0,Q3,1.0628634313855323,0,0,1,0.6415960099750624,0.21833683810173263,117607.79422718807,115893.9773089172,0.25,36.0,0.6443202979515829,729.0,4.3356258596973865,6725,1682,1611,-15280.978448275855,0,0.0,1
AI Engineer,Large,IT,United Kingdom,Onsite,Senior,11.0,Ph.D,1,1,1,1,0,171518.0,12,2021,Low,2,4,10,1,1,2.75,110.0,True,42879.5,110.0,4.7407407407407405,7466,4.488077496274218,0,0,Q4,1.4666147226418642,0,0,1,0.9293765586034912,1.556463604588369,117607.79422718807,115792.73994038749,0.4,121.0,0.9267535692116697,4194304.0,4.735294117647059,6535,1679,1611,32304.267569982127,1,11.0,2
Machine Learning Engineer,Start-up,Healthcare,Unknown,Hybrid,Senior,8.0,Ph.D,0,1,1,0,1,162147.0,4,2022,Low,1,3,7,0,0,2.6666666666666665,56.0,True,54049.0,56.0,4.439807383627608,6860,4.6797202797202795,0,1,Q2,1.3926280334616152,0,1,0,0.8982543640897755,1.2908956870834711,115724.92537072857,116538.71678321678,0.25,64.0,0.8942617666021921,6561.0,4.353086419753087,6596,1682,1551,22566.021551724145,0,0.0,2
Data Analyst,Medium,E-commerce,Germany,Remote,Mid-level,6.5,Bachelor's,1,1,1,1,1,212076.75,8,2020,Low,9,5,13,1,1,1.3,84.5,True,42415.35,84.5,4.527536231884058,7032,4.497611464968153,1,0,Q3,1.8277574477554366,0,1,1,0.9811970074812968,2.7058716479243823,115678.97271857051,115893.9773089172,1.5,42.25,0.9840459476707084,34938.56214843421,4.438775510204081,6289,1626,1567,108301.65098400984,1,6.5,3
Data Engineer,Medium,IT,India,Hybrid,Senior,10.0,Bachelor's,0,1,0,0,1,112458.0,11,2025,Low,4,2,4,0,0,5.0,40.0,False,56229.0,40.0,4.510964912280702,7466,4.45144157814871,0,1,Q4,0.9658653159603713,0,0,0,0.4488778054862843,-0.11725757861932185,117607.79422718807,115117.87329286798,1.3333333333333333,100.0,0.43202979515828677,1024.0,4.502029769959405,6397,1623,1611,8010.275723967963,0,0.0,1
Business Analyst,Start-up,Finance,Unknown,Remote,Junior,7.0,Ph.D,0,0,1,0,0,76600.0,1,2026,High,3,1,3,0,0,7.0,21.0,False,76600.0,21.0,4.301075268817204,7170,4.6797202797202795,1,0,Q1,0.6601677010707984,1,0,0,0.13187032418952618,-1.133449488329132,116283.64576802508,116538.71678321678,1.5,49.0,0.13667711598746082,1.0,4.498521584861029,6540,1714,1595,-30129.59334889149,0,0.0,1
