JobTitle,Company Size,company_Industry,Country,Remote Type,Exp. Level,Years_Experience,Education  Level,Skills - Python,Skills - SQL,Skills - ML,Skills-DeepLearning,skills_Cloud,Salary (USD),Posting Month,posting_Year,Hiring Urgency,Job Openings
Machine Learning Engineer,Medium,Healthcare,India,Hybrid,Mid-level,0.0,Bachelor's,0,1,0,0,0,132444.0,2,2026,Low,0
Data Scientist,Large,Retail,Germany,Remote,Junior,1.0,Bachelor's,0,0,1,0,1,80161.0,2,2026,High,0
Data Scientist,Large,Healthcare,Germany,Remote,Mid-level,7.0,Master's,0,1,1,0,1,124584.0,11,2022,High,0
Data Engineer,Large,E-commerce,Australia,Onsite,Junior,9.0,Ph.D,0,1,1,1,1,89456.0,1,2021,High,0
Data Engineer,Large,E-commerce,India,Hybrid,Mid-level,10.0,Bachelor's,0,1,0,1,0,113336.0,12,2024,Medium,0
Data Scientist,Medium,Unknown,United State America,Onsite,Senior,7.0,Bachelor's,0,1,0,0,1,110975.0,10,2026,Medium,0
Data Scientist,Large,Unknown,Singapore,Onsite,Junior,0.0,Master's,1,0,0,1,0,87357.0,10,2021,Medium,0
Data Scientist,Large,E-commerce,Singapore,Onsite,Mid-level,7.0,Master's,1,0,0,1,1,119057.0,2,2024,Medium,0
Data Scientist,Start-up,Healthcare,Australia,Remote,Senior,12.0,Ph.D,0,1,0,0,0,113873.0,11,2025,Medium,0
Data Scientist,Large,Retail,United Kingdom,Hybrid,Junior,13.0,Master's,0,0,1,0,0,87294.0,6,2025,High,0
Data Scientist,Start-up,IT,United Kingdom,Onsite,Junior,2.0,Ph.D,0,1,1,0,1,70512.0,5,2024,High,0
Machine Learning Engineer,Large,IT,India,Hybrid,Junior,9.0,Unknown,0,1,0,0,1,118439.0,9,2023,High,0
Machine Learning Engineer,Large,Healthcare,Australia,Hybrid,Senior,7.0,Master's,0,1,1,0,0,158079.0,10,2024,High,0
Data Engineer,Start-up,Unknown,India,Onsite,Mid-level,7.0,Master's,0,1,1,1,1,117539.0,10,2020,High,0
Business Analyst,Large,IT,India,Onsite,Junior,14.0,Master's,0,0,1,1,1,90935.0,5,2021,High,0
Business Analyst,Start-up,IT,India,Onsite,Junior,6.0,Ph.D,0,0,0,0,0,61640.0,4,2021,High,0
Business Analyst,Start-up,IT,Canada,Hybrid,Mid-level,10.0,Ph.D,0,1,1,0,1,97987.0,1,2025,Medium,0
Data Analyst,Large,Education,United Kingdom,Remote,Junior,5.0,Master's,1,0,0,0,1,84465.0,1,2025,Medium,0
Data Scientist,Large,Education,Unknown,Onsite,Mid-level,10.0,Master's,1,1,1,0,1,99220.0,11,2025,Medium,0
AI Engineer,Large,IT,Germany,Onsite,Junior,2.0,Master's,1,0,0,0,0,90659.0,5,2023,Medium,0
Data Scientist,Large,Education,Australia,Onsite,Junior,6.0,Bachelor's,0,1,1,0,0,88058.0,8,2022,Low,0
Data Analyst,Large,Retail,Unknown,Hybrid,Senior,5.0,Bachelor's,0,0,0,1,0,114695.0,8,2022,Low,0
Data Engineer,Start-up,Finance,Singapore,Hybrid,Mid-level,14.0,Bachelor's,0,1,0,1,1,97024.0,8,2022,Low,0
Data Analyst,Medium,Finance,Germany,Remote,Unknown,9.0,Ph.D,1,1,1,0,1,97028.0,1,2020,Low,0
Data Scientist,Unknown,Retail,Australia,Hybrid,Junior,14.0,Bachelor's,0,1,1,1,1,91837.0,3,2025,Low,0
Data Analyst,Large,Healthcare,India,Hybrid,Senior,6.0,Ph.D,0,1,0,0,0,100290.0,6,2020,Low,0
Data Engineer,Start-up,E-commerce,India,Onsite,Mid-level,7.0,Bachelor's,1,1,1,0,1,104916.0,1,2020,Low,0
Business Analyst,Start-up,IT,Australia,Onsite,Senior,7.0,Bachelor's,0,0,0,0,1,97336.0,1,2025,Low,0
Data Scientist,Medium,IT,Australia,Remote,Senior,7.0,Ph.D,0,0,1,1,1,134891.0,7,2026,Low,0
Data Engineer,Unknown,Healthcare,India,Remote,Junior,10.0,Master's,0,1,0,1,1,78475.0,9,2022,Low,0
Business Analyst,Large,Finance,United State America,Remote,Senior,5.0,Bachelor's,0,1,1,1,1,113873.0,4,2020,High,0
Machine Learning Engineer,Large,Finance,Australia,Onsite,Senior,2.9,Unknown,1,1,1,1,1,177554.0,4,2025,High,0
Data Engineer,Medium,Finance,Canada,Hybrid,Junior,3.0,Ph.D,0,0,1,0,1,74209.0,12,2025,High,0
Data Analyst,Large,Retail,Australia,Hybrid,Mid-level,12.0,Ph.D,0,1,0,0,1,91949.0,5,2020,High,0
Data Analyst,Large,Healthcare,India,Onsite,Junior,7.0,Master's,0,1,0,0,0,113873.0,6,2022,High,0
Data Scientist,Large,Retail,India,Onsite,Junior,6.3,Ph.D,1,1,1,0,1,72485.0,9,2026,Low,0
Business Analyst,Large,Retail,United Kingdom,Remote,Mid-level,12.0,Master's,1,0,1,0,1,103008.0,8,2020,Low,0
Data Analyst,Large,Retail,United Kingdom,Hybrid,Senior,0.0,Bachelor's,1,0,0,0,1,202887.5,2,2021,Low,0
Business Analyst,Large,Healthcare,United State America,Onsite,Junior,7.0,Master's,1,0,1,0,1,83418.0,10,2021,High,0
Data Analyst,Start-up,Retail,Germany,Hybrid,Senior,4.0,Master's,1,0,1,0,0,111931.0,10,2021,High,0
Data Analyst,Large,Healthcare,Germany,Remote,Mid-level,0.0,Bachelor's,0,1,1,0,1,98595.0,1,2021,High,0
Data Analyst,Large,E-commerce,Germany,Remote,Mid-level,9.0,Master's,1,1,0,0,1,101846.0,9,2020,High,0
Data Engineer,Large,E-commerce,Germany,Hybrid,Junior,10.0,Ph.D,0,1,0,1,1,90421.0,8,2022,High,0
Data Analyst,Large,Finance,United Kingdom,Remote,Junior,13.0,Ph.D,0,0,0,0,1,61640.0,11,2022,High,0
Machine Learning Engineer,Medium,E-commerce,Germany,Hybrid,Junior,7.0,Ph.D,0,0,0,1,0,61640.0,6,2026,High,0
Business Analyst,Start-up,IT,Australia,Onsite,Mid-level,10.0,Master's,1,1,0,0,1,83659.0,8,2020,High,0
AI Engineer,Medium,Healthcare,Singapore,Onsite,Junior,6.0,Master's,0,1,0,0,0,86234.0,10,2022,High,0
Machine Learning Engineer,Large,E-commerce,United Kingdom,Onsite,Mid-level,9.0,Bachelor's,0,0,1,0,0,133105.0,4,2022,High,0
Machine Learning Engineer,Large,Education,United Kingdom,Remote,Mid-level,6.0,Ph.D,1,1,0,0,1,61640.0,2,2026,High,0
Data Scientist,Large,Retail,Australia,Remote,Fresher,7.0,Unknown,1,1,1,0,1,91688.0,11,2022,High,0
AI Engineer,Start-up,Retail,Germany,Remote,Senior,0.3,Bachelor's,1,1,1,0,0,139350.0,8,2026,High,0
AI Engineer,Start-up,E-commerce,United Kingdom,Onsite,Mid-level,10.0,Ph.D,0,0,0,0,1,128333.0,9,2026,High,0
Data Analyst,Large,Healthcare,Canada,Unknown,Mid-level,13.0,Unknown,1,1,0,1,0,202887.5,4,2020,High,0
Data Scientist,Medium,Education,Unknown,Remote,Mid-level,10.0,Ph.D,0,1,0,0,1,80865.0,8,2020,Medium,0
Data Scientist,Start-up,Healthcare,Canada,Onsite,Junior,14.0,Bachelor's,0,0,1,0,0,64797.0,7,2020,Medium,0
Data Analyst,Medium,E-commerce,India,Remote,Mid-level,9.0,Bachelor's,0,1,0,0,0,77133.0,6,2022,Medium,0
Data Scientist,Medium,Finance,Singapore,Remote,Senior,11.0,Bachelor's,0,0,1,1,0,131279.0,9,2023,High,0
Machine Learning Engineer,Large,Retail,Australia,Onsite,Junior,3.0,Ph.D,1,1,1,0,0,141422.0,4,2023,High,0
Machine Learning Engineer,Start-up,Healthcare,Germany,Onsite,Senior,0.0,Bachelor's,0,1,0,1,1,166069.0,1,2021,Low,0
Data Scientist,Large,IT,India,Onsite,Mid-level,9.0,Bachelor's,0,0,1,0,1,119063.0,5,2020,Low,0
AI Engineer,Unknown,Retail,Canada,Onsite,Junior,9.0,Master's,1,1,1,1,0,116841.0,3,2026,Low,0
Business Analyst,Medium,E-commerce,Singapore,Onsite,Junior,7.0,Master's,1,0,1,0,1,79945.0,1,2020,Low,0
Business Analyst,Start-up,Retail,Australia,Remote,Senior,7.0,Bachelor's,0,1,1,1,0,128572.0,1,2022,Low,0
Machine Learning Engineer,Start-up,IT,United State America,Onsite,Mid-level,4.0,Bachelor's,1,1,1,0,0,129918.0,12,2020,Low,0
Data Engineer,Large,Finance,United Kingdom,Hybrid,Junior,11.0,Master's,1,1,1,1,1,94345.0,11,2020,Low,0
Data Scientist,Unknown,E-commerce,Canada,Hybrid,Mid-level,4.4,Master's,1,0,1,1,1,118944.0,1,2026,Low,0
Machine Learning Engineer,Medium,Healthcare,Canada,Hybrid,Senior,12.0,Unknown,0,1,1,0,0,113873.0,11,2020,Low,0
Data Scientist,Start-up,Finance,Singapore,Remote,Senior,8.0,Ph.D,0,1,0,0,1,126446.0,9,2023,Low,0
AI Engineer,Large,Education,United Kingdom,Onsite,Junior,12.0,Master's,1,0,1,0,0,105828.0,7,2023,Medium,0
Data Engineer,Medium,Education,United State America,Onsite,Senior,11.0,Master's,1,1,1,0,1,120001.0,1,2026,Medium,0
Data Scientist,Medium,Healthcare,Singapore,Onsite,Junior,7.0,Master's,0,1,1,0,0,61653.0,1,2026,Medium,0
Machine Learning Engineer,Large,Finance,United Kingdom,Onsite,Junior,4.0,Bachelor's,0,1,0,1,1,118723.0,1,2026,High,0
Data Analyst,Large,Education,United Kingdom,Onsite,Junior,13.0,Master's,1,1,0,1,1,99955.0,10,2020,High,0
AI Engineer,Large,E-commerce,Unknown,Remote,Mid-level,3.0,Master's,1,0,0,1,0,134133.0,10,2026,High,0
Data Engineer,Large,Retail,Australia,Hybrid,Junior,7.0,Master's,1,0,1,0,1,95041.0,7,2025,Low,0
Data Engineer,Unknown,E-commerce,Singapore,Hybrid,Senior,8.0,Ph.D,1,0,1,0,1,136554.0,4,2025,Low,0
Data Analyst,Start-up,E-commerce,India,Onsite,Junior,9.0,Ph.D,0,1,1,0,0,113873.0,7,2023,Low,0
Business Analyst,Large,Healthcare,Singapore,Remote,Mid-level,8.0,Ph.D,0,0,1,0,0,85515.0,12,2021,Low,0
Data Engineer,Large,Education,United State America,Remote,Senior,7.0,Bachelor's,0,1,1,0,1,131584.0,9,2024,Low,0
Business Analyst,Medium,IT,United State America,Onsite,Junior,7.0,Bachelor's,1,1,1,0,1,72719.0,11,2025,Low,0
Business Analyst,Start-up,IT,Germany,Onsite,Senior,0.0,Ph.D,0,1,1,1,0,131300.0,1,2023,Low,0
Data Scientist,Large,Retail,Germany,Unknown,Mid-level,7.7,Bachelor's,0,1,1,0,1,101320.0,6,2022,Low,0
Data Engineer,Medium,Healthcare,Canada,Hybrid,Mid-level,12.0,Bachelor's,1,0,1,0,0,86447.0,4,2020,Low,0
Data Scientist,Large,Education,Canada,Hybrid,Mid-level,10.0,Ph.D,0,0,0,0,1,105955.0,11,2020,Low,0
Data Engineer,Large,IT,Germany,Hybrid,Senior,1.0,Unknown,1,0,1,0,1,140671.0,3,2020,Low,0
Data Engineer,Medium,Education,United Kingdom,Onsite,Senior,1.0,Ph.D,0,0,1,1,0,119602.0,3,2025,Low,0
Business Analyst,Large,Education,Australia,Remote,Mid-level,11.0,Unknown,0,1,0,0,0,72039.0,4,2025,Low,0
Machine Learning Engineer,Medium,Unknown,Canada,Onsite,Senior,10.0,Bachelor's,1,1,0,0,0,142861.0,3,2021,Low,0
Data Engineer,Medium,IT,Canada,Unknown,Junior,14.0,Master's,1,1,1,1,0,202887.5,2,2021,High,0
Machine Learning Engineer,Large,Retail,India,Remote,Mid-level,12.0,Ph.D,1,1,1,0,1,157826.0,8,2021,High,0
Data Scientist,Large,Healthcare,Germany,Hybrid,Junior,1.0,Ph.D,0,1,1,0,0,91577.0,1,2022,Low,0
AI Engineer,Medium,IT,Australia,Onsite,Junior,7.0,Bachelor's,0,0,0,1,0,202887.5,3,2022,Low,0
Data Engineer,Medium,Finance,Germany,Remote,Unknown,14.0,Master's,1,0,1,0,1,64408.0,3,2021,Low,0
Data Engineer,Medium,Healthcare,Singapore,Remote,Mid-level,13.1,Ph.D,0,1,0,0,0,70512.0,8,2023,Low,0
Business Analyst,Unknown,IT,Australia,Remote,Mid-level,9.0,Master's,0,1,1,0,1,111528.0,4,2021,Low,0
Data Analyst,Medium,IT,India,Unknown,Senior,7.0,Master's,1,1,1,0,0,112315.0,11,2022,Low,0
Data Scientist,Medium,Retail,India,Remote,Junior,10.0,Ph.D,0,1,0,0,1,63688.0,4,2025,Low,0
AI Engineer,Unknown,Healthcare,United Kingdom,Onsite,Mid-level,7.0,Bachelor's,1,1,1,1,0,162247.0,8,2025,Low,0
Machine Learning Engineer,Large,Healthcare,Canada,Hybrid,Junior,0.4,Bachelor's,0,1,1,0,0,101487.0,11,2021,Low,0
Business Analyst,Medium,Unknown,Singapore,Remote,Senior,4.0,Ph.D,0,1,0,0,1,105096.0,7,2021,Low,0
Data Scientist,Large,E-commerce,Singapore,Onsite,Junior,10.0,Master's,0,1,1,1,1,89156.0,3,2024,High,0
AI Engineer,Medium,IT,United Kingdom,Hybrid,Junior,5.0,Unknown,0,1,0,1,1,114994.0,11,2024,Low,0
Machine Learning Engineer,Medium,E-commerce,Australia,Remote,Senior,0.0,Master's,0,1,0,0,1,157952.0,1,2026,Low,0
Data Analyst,Large,Retail,United State America,Remote,Mid-level,6.0,Bachelor's,1,0,1,0,1,100811.0,1,2026,Low,0
AI Engineer,Start-up,Unknown,United State America,Remote,Junior,13.9,Bachelor's,0,0,1,1,1,132014.0,10,2025,Low,0
Business Analyst,Start-up,Education,United Kingdom,Remote,Mid-level,0.0,Bachelor's,0,0,0,0,1,88014.0,6,2021,Low,0
Business Analyst,Start-up,IT,Australia,Hybrid,Mid-level,13.0,Master's,0,0,1,1,1,116433.0,7,2026,Low,0
Machine Learning Engineer,Medium,Education,United Kingdom,Remote,Junior,4.0,Bachelor's,0,0,0,0,0,93785.0,12,2024,Low,0
Business Analyst,Large,Finance,Australia,Onsite,Mid-level,14.0,Bachelor's,0,0,1,0,0,85637.0,11,2022,Low,0
AI Engineer,Large,Finance,Germany,Onsite,Junior,0.0,Master's,0,1,1,1,0,103610.0,1,2023,Low,0
Machine Learning Engineer,Large,Finance,India,Onsite,Mid-level,7.0,Master's,1,1,0,1,1,158351.0,9,2026,Low,0
Data Scientist,Large,Healthcare,Canada,Remote,Junior,1.0,Master's,0,1,1,0,1,97897.0,3,2020,Low,0
Machine Learning Engineer,Large,Unknown,Singapore,Remote,Senior,11.0,Master's,0,1,1,0,1,171867.0,3,2022,Medium,0
AI Engineer,Large,E-commerce,Germany,Onsite,Junior,7.0,Bachelor's,1,1,0,0,0,113873.0,1,2022,Medium,0
Business Analyst,Large,Unknown,Germany,Onsite,Mid-level,6.0,Bachelor's,1,1,1,0,0,92715.0,3,2024,Medium,0
AI Engineer,Large,Retail,Singapore,Onsite,Senior,9.0,Master's,0,1,1,1,0,185386.0,3,2026,Medium,0
Data Analyst,Large,Education,United Kingdom,Hybrid,Senior,9.0,Master's,0,0,0,0,1,129760.0,11,2024,Medium,0
Data Engineer,Unknown,Education,Canada,Onsite,Mid-level,2.0,Master's,1,0,1,1,0,102295.0,3,2026,Medium,0
Data Scientist,Medium,Unknown,Germany,Onsite,Senior,11.0,Unknown,1,0,0,0,0,99400.0,11,2026,Medium,0
Data Scientist,Medium,IT,United Kingdom,Hybrid,Mid-level,2.0,Unknown,1,1,0,0,1,84738.0,1,2023,Low,0
Data Scientist,Medium,IT,United Kingdom,Onsite,Senior,9.0,Bachelor's,1,1,0,1,1,123436.0,9,2021,Low,0
Business Analyst,Start-up,Education,United State America,Hybrid,Junior,10.0,Ph.D,0,0,1,0,0,113873.0,4,2022,Low,0
Data Engineer,Start-up,Retail,United State America,Remote,Junior,6.4,Ph.D,0,1,1,0,0,67091.0,4,2020,Low,0
Data Scientist,Medium,Healthcare,Germany,Hybrid,Junior,7.0,Ph.D,1,1,0,0,0,61640.0,9,2025,Low,0
Data Engineer,Medium,IT,Australia,Onsite,Senior,7.7,Ph.D,1,1,1,1,0,113873.0,11,2023,Low,0
AI Engineer,Medium,IT,Germany,Remote,Senior,10.0,Master's,0,0,0,0,0,144333.0,4,2023,Low,0
Data Scientist,Large,E-commerce,Unknown,Hybrid,Senior,12.0,Master's,1,1,0,0,0,146705.0,1,2024,Low,0
Machine Learning Engineer,Large,Healthcare,United State America,Remote,Junior,7.0,Ph.D,1,0,1,0,1,135733.0,1,2020,Low,0
Machine Learning Engineer,Large,Unknown,Germany,Hybrid,Junior,8.0,Bachelor's,0,0,1,0,0,101978.0,8,2020,Low,0
Business Analyst,Large,IT,Australia,Hybrid,Junior,10.0,Bachelor's,0,0,0,1,1,92570.0,1,2020,Medium,0
Business Analyst,Large,Finance,Singapore,Onsite,Mid-level,7.0,Bachelor's,1,0,1,0,0,113888.0,1,2023,Medium,0
Unknown,Large,Retail,Australia,Hybrid,Senior,0.0,Master's,1,1,1,0,1,165300.0,7,2025,Medium,0
Data Analyst,Medium,Unknown,United State America,Hybrid,Unknown,13.0,Master's,0,0,1,1,0,202887.5,1,2023,Medium,0
Business Analyst,Medium,IT,India,Onsite,Senior,7.0,Bachelor's,1,1,1,1,1,140506.0,1,2023,Medium,0
Business Analyst,Large,Healthcare,United State America,Hybrid,Junior,14.0,Ph.D,0,1,1,0,0,71439.0,6,2023,Medium,0
Machine Learning Engineer,Start-up,Healthcare,Germany,Unknown,Junior,10.0,Bachelor's,1,1,1,1,1,202887.5,6,2022,Medium,0
Machine Learning Engineer,Large,Healthcare,India,Hybrid,Senior,7.0,Ph.D,0,1,1,0,1,196314.0,9,2022,Medium,0
AI Engineer,Large,E-commerce,United State America,Hybrid,Senior,7.0,Ph.D,0,1,1,0,1,113873.0,1,2026,Medium,0
Data Engineer,Large,Unknown,Australia,Remote,Unknown,14.0,Bachelor's,1,0,0,0,1,105620.0,5,2024,Medium,0
Data Analyst,Large,IT,United State America,Remote,Mid-level,1.0,Unknown,1,0,1,1,0,90823.0,5,2026,Medium,0
Business Analyst,Large,IT,Singapore,Remote,Junior,0.0,Ph.D,0,1,1,0,1,78051.0,4,2024,Medium,0
Data Engineer,Large,Retail,Germany,Onsite,Mid-level,5.0,Master's,1,1,1,1,0,111802.0,10,2024,Medium,0
Data Engineer,Large,Retail,Australia,Hybrid,Senior,7.0,Bachelor's,1,0,1,1,0,136869.0,10,2025,Medium,0
Data Scientist,Medium,IT,Unknown,Hybrid,Mid-level,4.0,Master's,1,1,1,0,1,104165.0,12,2025,Low,0
Business Analyst,Start-up,Healthcare,Unknown,Remote,Senior,7.0,Bachelor's,1,0,1,0,1,123965.0,2,2020,Low,0
Data Analyst,Medium,Retail,Singapore,Hybrid,Junior,8.0,Master's,0,0,1,0,1,63624.0,2,2023,Low,0
Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Junior,7.0,Master's,0,1,1,0,1,113103.0,1,2021,Medium,0
Business Analyst,Large,IT,Singapore,Remote,Senior,3.0,Ph.D,0,1,0,1,1,149406.0,9,2024,Medium,0
